x-axis,1
second,Volt
-438.25836E-06,+763.81908730E-03
-438.18970E-06,+763.81908730E-03
-438.12103E-06,+754.02831224E-03
-438.05237E-06,+750.66125727E-03
-437.98370E-06,+759.72451781E-03
-437.91504E-06,+743.71858500E-03
-437.84637E-06,+743.71858500E-03
-437.77771E-06,+743.71858500E-03
-437.70905E-06,+730.91592437E-03
-437.64038E-06,+723.61808270E-03
-437.57172E-06,+730.72453775E-03
-437.50305E-06,+743.71858500E-03
-437.43439E-06,+746.53908395E-03
-437.36572E-06,+781.04388297E-03
-437.29706E-06,+768.10504340E-03
-437.22839E-06,+776.78553070E-03
-437.15973E-06,+763.68290836E-03
-437.09106E-06,+750.98882283E-03
-437.02240E-06,+763.81908730E-03
-436.95374E-06,+762.24505504E-03
-436.88507E-06,+744.99265553E-03
-436.81641E-06,+759.69691397E-03
-436.74774E-06,+763.81908730E-03
-436.67908E-06,+763.81908730E-03
-436.61041E-06,+763.81908730E-03
-436.54175E-06,+768.40500512E-03
-436.47308E-06,+780.44395953E-03
-436.40442E-06,+745.93916051E-03
-436.33575E-06,+759.86069675E-03
-436.26709E-06,+763.81908730E-03
-436.19843E-06,+753.37318112E-03
-436.12976E-06,+751.31638839E-03
-436.06110E-06,+763.81908730E-03
-435.99243E-06,+763.81908730E-03
-435.92377E-06,+763.81908730E-03
-435.85510E-06,+747.51319276E-03
-435.78644E-06,+757.17637674E-03
-435.71777E-06,+753.20939834E-03
-435.64911E-06,+751.48017117E-03
-435.58044E-06,+758.90560392E-03
-435.51178E-06,+745.78396559E-03
-435.44312E-06,+763.03636510E-03
-435.37445E-06,+763.81908730E-03
-435.30579E-06,+750.19751277E-03
-435.23712E-06,+743.71858500E-03
-435.16846E-06,+751.64395395E-03
-435.09979E-06,+763.81908730E-03
-435.03113E-06,+763.81908730E-03
-434.96246E-06,+763.81908730E-03
-434.89380E-06,+780.45254739E-03
-434.82513E-06,+756.34887499E-03
-434.75647E-06,+765.59309403E-03
-434.68781E-06,+783.91958959E-03
-434.61914E-06,+773.43749172E-03
-434.55048E-06,+743.71858500E-03
-434.48181E-06,+743.71858500E-03
-434.41315E-06,+743.71858500E-03
-434.34448E-06,+743.71858500E-03
-434.27582E-06,+754.81962229E-03
-434.20715E-06,+755.56615279E-03
-434.13849E-06,+743.71858500E-03
-434.06982E-06,+746.27531393E-03
-434.00116E-06,+763.52771344E-03
-433.93250E-06,+746.85806165E-03
-433.86383E-06,+757.83150786E-03
-433.79517E-06,+775.08390737E-03
-433.72650E-06,+767.08615502E-03
-433.65784E-06,+749.28719950E-03
-433.58917E-06,+763.81908730E-03
-433.52051E-06,+763.81908730E-03
-433.45184E-06,+746.69427887E-03
-433.38318E-06,+757.99529064E-03
